id;№ аудитории;Кол-во посадочных мест;Площадь;Назначение;Фактическое использование;Кафедра;Институт;
41;6449;;64,5;класс;Компьютерный класс ГИС;ГИС;ИРИТ;
42;6450;;64,6;класс;Компьютерный класс ГИС;ГИС;ИРИТ;
43;6451;;64,7;класс;Учебная аудитория ГИС;ГИС;ИРИТ;
44;6452;;64,6;класс;Компьютерный класс ГИС;ГИС;ИРИТ;
45;6453;;64,9;класс;Компьютерный класс ГИС;ГИС;ИРИТ;
46;6454;;48,4;класс;Учебная аудитория ГИС;ГИС;ИРИТ;
47;6455;64;100;класс;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6456;;;;;;;
;6457;;;;;;;
;6458;;;;;;;
;6459;;;;;;;
48;6460;72;87,9;аудитория;Учебная аудитория;Учебный отдел;УМУ;
;6461;;;;;;;
49;6462;;46,6;учебный класс;Учебная аудитория (резерв);Ректорат;;
50;6463;32;45,1;аудитория;Учебная аудитория (резерв);Ректорат;;
51;6465;;46,4;Учебный класс;Учебная аудитория (резерв);Ректорат;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
id;№ аудитории;Кол-во посадочных мест;Площадь;Назначение;Фактическое использование;Кафедра;Институт;
;6501;44;51,1;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6502;50;56,4;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6503;;17,5;Кабинет;Кабинет ведущего инженера отдела противопожарной безопасности;Отдел противопожарной безопасности;АХЧ;
;6504;12;17,7;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6505;24;33,1;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6506;12;18;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6507;;;;;;;
;6508;48;54,4;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6509;;;;;;;
;6510;72;37,9;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6511;12;16,3;аудитория;Подсобное помещение ИВЦ;ИВЦ НГТУ;Управление информатизации;
;6512;30;56,4;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6513;48;50,3;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6514;;17,7;препараторская;Помещение первичной организации РСМ НГТУ;РСМ НГТУ;Отдел по воспитательной работе;
;6515;40;50;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6516;40;56,3;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6517;58;50,9;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6518;;17,8;Кабинет;Кабинет мастера участка РСО;РСО;Управление эксплуатации и развития;
;6519;26;37,7;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6520;72;109,7;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6521;48;50;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6522;;;;;;;
;6523;16;16;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6524;;;;;;;
;6525;44;49,8;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6526;;;;;;;
;6527;42;49,8;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6528;;;;;;;
;6529;48;72,9;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6530;;;;;;;
;6531;42;49,6;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6532;68;69,5;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6533;30;49,7;аудитория;Аудитория курсов ПТО (автошкола «Политех»);Курсы ПТО (автошкола «Политех»);ИТС;
;6534;;;;;;;
;6535;;16;кабинет;Кабинет курсов ПТО (автошкола «Политех»);Курсы ПТО (автошкола «Политех»);ИТС;
;6536;;;;;;;
;6537;;56,6;лаборатория;Спец. аудитория курсов ПТО (автошкола «Политех»);Курсы ПТО (автошкола «Политех»);ИТС;
;6538;;;;;;;
;6539;;;;;;;
;6540;;;;;;;
;6541;44;73,9;аудитория;Общепоточная учебная аудитория;;;
;6542;;19,3;Кабинет;Кабинет сотрудников управления информатизации;;Управление информатизации;
;6543;;33;класс;Компьютерный класс;Центр дистанционных образовательных технологий;ЦДОТ;
;6544;;18,1;лаборантская;Лаборантская;Центр дистанционных образовательных технологий;ЦДОТ;
;6545;;49,7;класс;Компьютерный класс;Центр дистанционных образовательных технологий;ЦДОТ;
;6546;;55,9;аудитория;Учебная аудитория;Центр дистанционных образовательных технологий;ЦДОТ;
;6547;;18,9;класс;Компьютерный класс;Центр дистанционных образовательных технологий;ЦДОТ;
;6548;;17,6;комната;Подсобное помещение;Центр дистанционных образовательных технологий;ЦДОТ;
;6549;;58;аудитория;Учебная аудитория;Центр дистанционных образовательных технологий;ЦДОТ;
;6550;64;99,6;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6551;;22,5;Кабинет;Кабинет зав.кафедры ИГ;ИГ;ИТС;
;6552;;19,3;Кладовая;Коммуникационное оборудование ИВЦ;ИВЦ НГТУ;Управление информатизации;
;6553;48;64,3;аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6554;21;64,6;Класс;Специализированная аудитория ИГ;;;
;6555;48;64,1;Аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6556;48;64,4;Аудитория;Общепоточная учебная аудитория;Учебный отдел;УМУ;
;6557;23;64,8;Класс;Специализированная аудитория ИГ;ИГ;ИТС;
;6558;;48,3;Класс;Лаборатория ИГ;ИГ;ИТС;
;6559;;100,2;Класс;Помещение кафедры ИГ;ИГ;ИТС;
;6560;;64,2;Учебный класс;Учебная аудитория (резерв);;;
;6561;;93,4;Аудитория;Учебная аудитория (резерв);;;
;6562;;21,7;Учебно-методический кабинет;Учебная аудитория (резерв);;;
;6563;;31,7;Преподавательская;Учебная аудитория (резерв);;;
;6564;;87,9;Аудитория;Учебная аудитория (резерв);;;
;6565;;92,1;Аудитория;Учебная аудитория (резерв);;;
;6566;;45,8;Учебный класс;Учебная аудитория (резерв);;;
;6567;;43,7;Учебный класс;Учебная аудитория (резерв);;;
;6568;;54,6;Помещение технических средств;Учебная аудитория;;;
;6569;;46,6;Учебный класс;Учебная аудитория (резерв);;;
